  CveAct;Catalogo  ;No Inv ;Año ;Descripción                                   ;    CveAds; NumSerie    ; CveBaja
  3290; I180000038;00380;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031468.;   11709 ;2NGY031468  ;    0  ;
  3270; I180000038;00381;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE 2NGYO31415 BAJA 3053/2000;   Z11990;2NGYO31415  ;    0  ;
  3310; I180000038;00382;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGYO31425.;   11706 ;2NGYO31425  ;    0  ;
  3300; I180000038;00383;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031440. ACUERDO 14077;   Z11990;2NGY031440  ;    0  ;
  3320; I180000038;00384;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGYO31506.;   11713 ;2NGYO31506  ;    0  ;
  3386; I180000038;00394;96 ;DE PUNTOS MARCA DATA PRODUCTS, MODELO 8500 DE 500 CPS, NUMERO DE SERIE: 0507175-9701-0509. ACUERDO 9864;   Z11990;0507175-9701-0509;    0  ;
  3538; I180000038;00429;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY041382.;   11850 ;2NGY041382  ;    0  ;
  3381; I180000038;00432;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY036923. ACUERDO 14077;   Z11990;2NGY036923  ;    0  ;
  3483; I180000038;00444;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY036913.;   11707 ;2NGY036913  ;    0  ;
  3342; I180000038;00447;96 ;DE IMPACTO DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY036921.;   11714 ;2NGY036921  ;    0  ;
  570; I180000048;00007;82 ;PARA TERMINAL DE  COMPUTADORA OMR, MARCA SCAN-TROM MODELO 2012 NUMERO DE SERIE 7-0821  BAJA 3730;   Z11991; 7-0821  BAJA 3730;    0  ;
  319; I180000030;00001;87 ;MARCA AUDIOLOGIC, MODELO TCD-27, NUMERO DE SERIE: 10471611. ACUERDO 14075;   Z11990;: 10471611. ;    0  ;
  10941; I180000062;00000;02 ;PARA COMPUTADORA MARCA PM-STEELE CON ESTRUCTURA DE LAMINA ROLADA EN COLOR NEGRO CUBIERTA MADERA AGLOMERADA Y PORTATECLADO MED. 0.90 X 0.60 X0.75;   Z09   ;?           ;    9  ;
  4110; I180000062;00037;99 ;CON ADAPTADOR PC SIN MARCA, SIN MODELO, DE METAL, MEDIDAS: 0.94 X0.36 X 0.70 MTS.;   11922 ;?           ;    0  ;
  4111; I180000062;00038;99 ;CON ADAPTADOR PC SIN MARCA, SIN MODELO, DE METAL, MEDIDAS: 0.94 X0.36 X 0.70 MTS.;   11922 ;?           ;    0  ;
  4112; I180000062;00039;99 ;CON ADAPTADOR PC SIN MARCA, SIN MODELO, DE METAL, MEDIDAS: 0.94 X0.36 X 0.70 MTS.;   11922 ;?           ;    0  ;
